"","YEAR","STATE","TYPE.OF.PRODUCER","ENERGY.SOURCE","GENERATION..Megawatthours."
"2",1990,"AK","Total Electric Power Industry","Coal",510573
"3",1990,"AK","Total Electric Power Industry","Hydro",974521
"4",1990,"AK","Total Electric Power Industry","Natural Gas",3466261
"5",1990,"AK","Total Electric Power Industry","Petroleum",497116
"6",1990,"AK","Total Electric Power Industry","Wind",0
"7",1990,"AK","Total Electric Power Industry","Wood",151035
"9",1990,"AK","Electric Generators, Electric Utilities","Coal",311960
"10",1990,"AK","Electric Generators, Electric Utilities","Hydro",974521
"11",1990,"AK","Electric Generators, Electric Utilities","Natural Gas",2869638
"12",1990,"AK","Electric Generators, Electric Utilities","Petroleum",336905
"13",1990,"AK","Electric Generators, Electric Utilities","Wind",0
"15",1990,"AK","Combined Heat and Power, Industrial Power","Natural Gas",596623
"16",1990,"AK","Combined Heat and Power, Industrial Power","Petroleum",93291
"17",1990,"AK","Combined Heat and Power, Industrial Power","Wood",151035
"19",1990,"AK","Combined Heat and Power, Commercial Power","Coal",198613
"20",1990,"AK","Combined Heat and Power, Commercial Power","Petroleum",66920
"1448",1991,"AK","Total Electric Power Industry","Coal",520514
"1449",1991,"AK","Total Electric Power Industry","Hydro",896113
"1450",1991,"AK","Total Electric Power Industry","Natural Gas",3319395
"1451",1991,"AK","Total Electric Power Industry","Petroleum",513425
"1452",1991,"AK","Total Electric Power Industry","Wind",0
"1453",1991,"AK","Total Electric Power Industry","Wood",140381
"1455",1991,"AK","Electric Generators, Electric Utilities","Coal",325914
"1456",1991,"AK","Electric Generators, Electric Utilities","Hydro",896113
"1457",1991,"AK","Electric Generators, Electric Utilities","Natural Gas",2657316
"1458",1991,"AK","Electric Generators, Electric Utilities","Petroleum",407088
"1459",1991,"AK","Electric Generators, Electric Utilities","Wind",0
"1461",1991,"AK","Combined Heat and Power, Industrial Power","Natural Gas",653601
"1462",1991,"AK","Combined Heat and Power, Industrial Power","Petroleum",104877
"1463",1991,"AK","Combined Heat and Power, Industrial Power","Wood",140381
"1465",1991,"AK","Combined Heat and Power, Commercial Power","Coal",194600
"1466",1991,"AK","Combined Heat and Power, Commercial Power","Natural Gas",8478
"1467",1991,"AK","Combined Heat and Power, Commercial Power","Petroleum",1460
"2921",1992,"AK","Total Electric Power Industry","Coal",495795
"2922",1992,"AK","Total Electric Power Industry","Hydro",918120
"2923",1992,"AK","Total Electric Power Industry","Natural Gas",3214330
"2925",1992,"AK","Total Electric Power Industry","Petroleum",521950
"2926",1992,"AK","Total Electric Power Industry","Wind",0
"2927",1992,"AK","Total Electric Power Industry","Wood",131934
"2929",1992,"AK","Electric Generators, Electric Utilities","Coal",289529
"2930",1992,"AK","Electric Generators, Electric Utilities","Hydro",918120
"2931",1992,"AK","Electric Generators, Electric Utilities","Natural Gas",2552417
"2932",1992,"AK","Electric Generators, Electric Utilities","Petroleum",406988
"2933",1992,"AK","Electric Generators, Electric Utilities","Wind",0
"2935",1992,"AK","Combined Heat and Power, Industrial Power","Natural Gas",653435
"2937",1992,"AK","Combined Heat and Power, Industrial Power","Petroleum",113447
"2938",1992,"AK","Combined Heat and Power, Industrial Power","Wood",131934
"2940",1992,"AK","Combined Heat and Power, Commercial Power","Coal",206266
"2941",1992,"AK","Combined Heat and Power, Commercial Power","Natural Gas",8478
"2942",1992,"AK","Combined Heat and Power, Commercial Power","Petroleum",1515
"4424",1993,"AK","Total Electric Power Industry","Coal",533123
"4425",1993,"AK","Total Electric Power Industry","Hydro",1302992
"4426",1993,"AK","Total Electric Power Industry","Natural Gas",3191814
"4428",1993,"AK","Total Electric Power Industry","Petroleum",587422
"4429",1993,"AK","Total Electric Power Industry","Wind",0
"4430",1993,"AK","Total Electric Power Industry","Wood",90504
"4432",1993,"AK","Electric Generators, Electric Utilities","Coal",322564
"4433",1993,"AK","Electric Generators, Electric Utilities","Hydro",1302992
"4434",1993,"AK","Electric Generators, Electric Utilities","Natural Gas",2496949
"4435",1993,"AK","Electric Generators, Electric Utilities","Petroleum",458542
"4436",1993,"AK","Electric Generators, Electric Utilities","Wind",0
"4438",1993,"AK","Combined Heat and Power, Industrial Power","Natural Gas",694865
"4440",1993,"AK","Combined Heat and Power, Industrial Power","Petroleum",127926
"4441",1993,"AK","Combined Heat and Power, Industrial Power","Wood",90504
"4443",1993,"AK","Combined Heat and Power, Commercial Power","Coal",210559
"4444",1993,"AK","Combined Heat and Power, Commercial Power","Petroleum",954
"5945",1994,"AK","Total Electric Power Industry","Coal",502866
"5946",1994,"AK","Total Electric Power Industry","Hydro",1345407
"5947",1994,"AK","Total Electric Power Industry","Natural Gas",3401175
"5949",1994,"AK","Total Electric Power Industry","Petroleum",562644
"5950",1994,"AK","Total Electric Power Industry","Wind",0
"5951",1994,"AK","Total Electric Power Industry","Wood",138142
"5953",1994,"AK","Electric Generators, Electric Utilities","Coal",294615
"5954",1994,"AK","Electric Generators, Electric Utilities","Hydro",1345407
"5955",1994,"AK","Electric Generators, Electric Utilities","Natural Gas",2680897
"5956",1994,"AK","Electric Generators, Electric Utilities","Petroleum",441197
"5957",1994,"AK","Electric Generators, Electric Utilities","Wind",0
"5959",1994,"AK","Combined Heat and Power, Industrial Power","Natural Gas",720278
"5961",1994,"AK","Combined Heat and Power, Industrial Power","Petroleum",110276
"5962",1994,"AK","Combined Heat and Power, Industrial Power","Wood",138142
"5964",1994,"AK","Combined Heat and Power, Commercial Power","Coal",208251
"5965",1994,"AK","Combined Heat and Power, Commercial Power","Petroleum",11171
"7488",1995,"AK","Total Electric Power Industry","Coal",528930
"7489",1995,"AK","Total Electric Power Industry","Hydro",1372115
"7490",1995,"AK","Total Electric Power Industry","Natural Gas",3379573
"7492",1995,"AK","Total Electric Power Industry","Petroleum",620564
"7493",1995,"AK","Total Electric Power Industry","Wind",0
"7494",1995,"AK","Total Electric Power Industry","Wood",111345
"7496",1995,"AK","Electric Generators, Electric Utilities","Coal",309232
"7497",1995,"AK","Electric Generators, Electric Utilities","Hydro",1372115
"7498",1995,"AK","Electric Generators, Electric Utilities","Natural Gas",2678935
"7499",1995,"AK","Electric Generators, Electric Utilities","Petroleum",486640
"7500",1995,"AK","Electric Generators, Electric Utilities","Wind",0
"7502",1995,"AK","Combined Heat and Power, Industrial Power","Natural Gas",700638
"7504",1995,"AK","Combined Heat and Power, Industrial Power","Petroleum",123782
"7505",1995,"AK","Combined Heat and Power, Industrial Power","Wood",111345
"7507",1995,"AK","Combined Heat and Power, Commercial Power","Coal",219698
"7508",1995,"AK","Combined Heat and Power, Commercial Power","Petroleum",10142
"9052",1996,"AK","Total Electric Power Industry","Coal",428736
"9053",1996,"AK","Total Electric Power Industry","Hydro",1265863
"9054",1996,"AK","Total Electric Power Industry","Natural Gas",3548718
"9056",1996,"AK","Total Electric Power Industry","Petroleum",770676
"9057",1996,"AK","Total Electric Power Industry","Wind",0
"9058",1996,"AK","Total Electric Power Industry","Wood",102914
"9060",1996,"AK","Electric Generators, Electric Utilities","Coal",229129
"9061",1996,"AK","Electric Generators, Electric Utilities","Hydro",1265863
"9062",1996,"AK","Electric Generators, Electric Utilities","Natural Gas",2843998
"9063",1996,"AK","Electric Generators, Electric Utilities","Petroleum",643278
"9064",1996,"AK","Electric Generators, Electric Utilities","Wind",0
"9066",1996,"AK","Combined Heat and Power, Industrial Power","Natural Gas",704720
"9068",1996,"AK","Combined Heat and Power, Industrial Power","Petroleum",118078
"9069",1996,"AK","Combined Heat and Power, Industrial Power","Wood",102914
"9071",1996,"AK","Combined Heat and Power, Commercial Power","Coal",199607
"9072",1996,"AK","Combined Heat and Power, Commercial Power","Petroleum",9320
"10626",1997,"AK","Total Electric Power Industry","Coal",442702
"10627",1997,"AK","Total Electric Power Industry","Hydro",1098953
"10628",1997,"AK","Total Electric Power Industry","Natural Gas",3707734
"10630",1997,"AK","Total Electric Power Industry","Petroleum",857889
"10631",1997,"AK","Total Electric Power Industry","Wind",0
"10632",1997,"AK","Total Electric Power Industry","Wood",42166
"10634",1997,"AK","Electric Generators, Electric Utilities","Coal",237165
"10635",1997,"AK","Electric Generators, Electric Utilities","Hydro",1098953
"10636",1997,"AK","Electric Generators, Electric Utilities","Natural Gas",3031164
"10637",1997,"AK","Electric Generators, Electric Utilities","Petroleum",740721
"10638",1997,"AK","Electric Generators, Electric Utilities","Wind",0
"10640",1997,"AK","Combined Heat and Power, Industrial Power","Natural Gas",676570
"10642",1997,"AK","Combined Heat and Power, Industrial Power","Petroleum",98313
"10643",1997,"AK","Combined Heat and Power, Industrial Power","Wood",41212
"10645",1997,"AK","Combined Heat and Power, Commercial Power","Coal",205537
"10646",1997,"AK","Combined Heat and Power, Commercial Power","Petroleum",18855
"10647",1997,"AK","Combined Heat and Power, Commercial Power","Wood",954
"12216",1998,"AK","Total Electric Power Industry","Coal",524613
"12217",1998,"AK","Total Electric Power Industry","Hydro",1113332
"12218",1998,"AK","Total Electric Power Industry","Natural Gas",3352895
"12219",1998,"AK","Total Electric Power Industry","Petroleum",836467
"12220",1998,"AK","Total Electric Power Industry","Wind",0
"12221",1998,"AK","Total Electric Power Industry","Wood",1538
"12223",1998,"AK","Electric Generators, Electric Utilities","Coal",171053
"12224",1998,"AK","Electric Generators, Electric Utilities","Hydro",1113332
"12225",1998,"AK","Electric Generators, Electric Utilities","Natural Gas",2548971
"12226",1998,"AK","Electric Generators, Electric Utilities","Petroleum",756914
"12227",1998,"AK","Electric Generators, Electric Utilities","Wind",0
"12229",1998,"AK","Combined Heat and Power, Industrial Power","Natural Gas",803924
"12230",1998,"AK","Combined Heat and Power, Industrial Power","Petroleum",71574
"12231",1998,"AK","Combined Heat and Power, Industrial Power","Wood",877
"12233",1998,"AK","Combined Heat and Power, Electric Power","Coal",210238
"12234",1998,"AK","Combined Heat and Power, Electric Power","Petroleum",474
"12235",1998,"AK","Combined Heat and Power, Electric Power","Wood",661
"12237",1998,"AK","Combined Heat and Power, Commercial Power","Coal",143322
"12238",1998,"AK","Combined Heat and Power, Commercial Power","Petroleum",7505
"13823",1999,"AK","Total Electric Power Industry","Coal",523369
"13824",1999,"AK","Total Electric Power Industry","Hydro",816608
"13825",1999,"AK","Total Electric Power Industry","Natural Gas",3588075
"13826",1999,"AK","Total Electric Power Industry","Petroleum",874256
"13827",1999,"AK","Total Electric Power Industry","Wind",0
"13829",1999,"AK","Electric Generators, Electric Utilities","Coal",156188
"13830",1999,"AK","Electric Generators, Electric Utilities","Hydro",816608
"13831",1999,"AK","Electric Generators, Electric Utilities","Natural Gas",2838480
"13832",1999,"AK","Electric Generators, Electric Utilities","Petroleum",798039
"13833",1999,"AK","Electric Generators, Electric Utilities","Wind",0
"13835",1999,"AK","Combined Heat and Power, Industrial Power","Natural Gas",749595
"13836",1999,"AK","Combined Heat and Power, Industrial Power","Petroleum",63872
"13838",1999,"AK","Combined Heat and Power, Electric Power","Coal",226377
"13839",1999,"AK","Combined Heat and Power, Electric Power","Petroleum",598
"13841",1999,"AK","Combined Heat and Power, Commercial Power","Coal",140804
"13842",1999,"AK","Combined Heat and Power, Commercial Power","Petroleum",11747
"15435",2000,"AK","Total Electric Power Industry","Coal",538673
"15436",2000,"AK","Total Electric Power Industry","Hydro",1001819
"15437",2000,"AK","Total Electric Power Industry","Natural Gas",3975832
"15438",2000,"AK","Total Electric Power Industry","Petroleum",640201
"15439",2000,"AK","Total Electric Power Industry","Wind",0
"15441",2000,"AK","Electric Generators, Electric Utilities","Coal",184901
"15442",2000,"AK","Electric Generators, Electric Utilities","Hydro",1001819
"15443",2000,"AK","Electric Generators, Electric Utilities","Natural Gas",3193954
"15444",2000,"AK","Electric Generators, Electric Utilities","Petroleum",557013
"15445",2000,"AK","Electric Generators, Electric Utilities","Wind",0
"15447",2000,"AK","Combined Heat and Power, Industrial Power","Natural Gas",781878
"15448",2000,"AK","Combined Heat and Power, Industrial Power","Petroleum",66327
"15450",2000,"AK","Combined Heat and Power, Electric Power","Coal",223138
"15451",2000,"AK","Combined Heat and Power, Electric Power","Petroleum",824
"15453",2000,"AK","Combined Heat and Power, Commercial Power","Coal",130634
"15454",2000,"AK","Combined Heat and Power, Commercial Power","Petroleum",16037
"17090",2001,"AK","Total Electric Power Industry","Coal",564593
"17091",2001,"AK","Total Electric Power Industry","Hydro",1345665
"17092",2001,"AK","Total Electric Power Industry","Natural Gas",3895569
"17093",2001,"AK","Total Electric Power Industry","Petroleum",936989
"17094",2001,"AK","Total Electric Power Industry","Wind",950
"17096",2001,"AK","Electric Generators, Electric Utilities","Coal",194008
"17097",2001,"AK","Electric Generators, Electric Utilities","Hydro",1345665
"17098",2001,"AK","Electric Generators, Electric Utilities","Natural Gas",3027807
"17099",2001,"AK","Electric Generators, Electric Utilities","Petroleum",847761
"17100",2001,"AK","Electric Generators, Electric Utilities","Wind",950
"17102",2001,"AK","Combined Heat and Power, Industrial Power","Natural Gas",867762
"17103",2001,"AK","Combined Heat and Power, Industrial Power","Petroleum",69153
"17105",2001,"AK","Combined Heat and Power, Electric Power","Coal",233975
"17106",2001,"AK","Combined Heat and Power, Electric Power","Petroleum",3330
"17108",2001,"AK","Combined Heat and Power, Commercial Power","Coal",136610
"17109",2001,"AK","Combined Heat and Power, Commercial Power","Petroleum",16745
"18803",2002,"AK","Total Electric Power Industry","Coal",575288
"18804",2002,"AK","Total Electric Power Industry","Hydro",1439351
"18805",2002,"AK","Total Electric Power Industry","Natural Gas",3778162
"18807",2002,"AK","Total Electric Power Industry","Petroleum",962369
"18808",2002,"AK","Total Electric Power Industry","Wood",1031
"18810",2002,"AK","Electric Generators, Independent Power Producers","Natural Gas",0
"18812",2002,"AK","Electric Generators, Electric Utilities","Coal",204490
"18813",2002,"AK","Electric Generators, Electric Utilities","Hydro",1439351
"18814",2002,"AK","Electric Generators, Electric Utilities","Natural Gas",2952996
"18815",2002,"AK","Electric Generators, Electric Utilities","Petroleum",875153
"18817",2002,"AK","Combined Heat and Power, Industrial Power","Natural Gas",825166
"18819",2002,"AK","Combined Heat and Power, Industrial Power","Petroleum",59066
"18821",2002,"AK","Combined Heat and Power, Electric Power","Coal",240932
"18822",2002,"AK","Combined Heat and Power, Electric Power","Petroleum",1705
"18823",2002,"AK","Combined Heat and Power, Electric Power","Wood",1031
"18825",2002,"AK","Combined Heat and Power, Commercial Power","Coal",129866
"18826",2002,"AK","Combined Heat and Power, Commercial Power","Petroleum",26445
"20581",2003,"AK","Total Electric Power Industry","Coal",549664
"20582",2003,"AK","Total Electric Power Industry","Hydro",1582536
"20583",2003,"AK","Total Electric Power Industry","Natural Gas",3354482
"20585",2003,"AK","Total Electric Power Industry","Petroleum",846274
"20586",2003,"AK","Total Electric Power Industry","Wood",758
"20588",2003,"AK","Electric Generators, Electric Utilities","Coal",167555
"20589",2003,"AK","Electric Generators, Electric Utilities","Hydro",1582536
"20590",2003,"AK","Electric Generators, Electric Utilities","Natural Gas",3147997
"20591",2003,"AK","Electric Generators, Electric Utilities","Petroleum",775374
"20593",2003,"AK","Combined Heat and Power, Industrial Power","Natural Gas",206485
"20595",2003,"AK","Combined Heat and Power, Industrial Power","Petroleum",61430
"20597",2003,"AK","Combined Heat and Power, Electric Power","Coal",162478
"20599",2003,"AK","Combined Heat and Power, Commercial Power","Coal",219631
"20600",2003,"AK","Combined Heat and Power, Commercial Power","Petroleum",9470
"20601",2003,"AK","Combined Heat and Power, Commercial Power","Wood",758
"22361",2004,"AK","Total Electric Power Industry","Coal",648980
"22362",2004,"AK","Total Electric Power Industry","Hydro",1498020
"22363",2004,"AK","Total Electric Power Industry","Natural Gas",3623433
"22365",2004,"AK","Total Electric Power Industry","Petroleum",747068
"22366",2004,"AK","Total Electric Power Industry","Wood",389
"22368",2004,"AK","Electric Generators, Electric Utilities","Coal",211075
"22369",2004,"AK","Electric Generators, Electric Utilities","Hydro",1498020
"22370",2004,"AK","Electric Generators, Electric Utilities","Natural Gas",3475477
"22371",2004,"AK","Electric Generators, Electric Utilities","Petroleum",681848
"22373",2004,"AK","Combined Heat and Power, Industrial Power","Natural Gas",147956
"22375",2004,"AK","Combined Heat and Power, Industrial Power","Petroleum",52263
"22377",2004,"AK","Combined Heat and Power, Electric Power","Coal",182145
"22379",2004,"AK","Combined Heat and Power, Commercial Power","Coal",255760
"22380",2004,"AK","Combined Heat and Power, Commercial Power","Petroleum",12957
"22381",2004,"AK","Combined Heat and Power, Commercial Power","Wood",389
"24157",2005,"AK","Total Electric Power Industry","Coal",624318
"24158",2005,"AK","Total Electric Power Industry","Hydro",1463942
"24159",2005,"AK","Total Electric Power Industry","Natural Gas",3723626
"24161",2005,"AK","Total Electric Power Industry","Petroleum",758929
"24162",2005,"AK","Total Electric Power Industry","Wind",589
"24163",2005,"AK","Total Electric Power Industry","Wood",383
"24165",2005,"AK","Electric Generators, Electric Utilities","Coal",219320
"24166",2005,"AK","Electric Generators, Electric Utilities","Hydro",1463942
"24167",2005,"AK","Electric Generators, Electric Utilities","Natural Gas",3576738
"24168",2005,"AK","Electric Generators, Electric Utilities","Petroleum",685559
"24169",2005,"AK","Electric Generators, Electric Utilities","Wind",589
"24171",2005,"AK","Combined Heat and Power, Industrial Power","Natural Gas",146888
"24173",2005,"AK","Combined Heat and Power, Industrial Power","Petroleum",59484
"24175",2005,"AK","Combined Heat and Power, Electric Power","Coal",173942
"24177",2005,"AK","Combined Heat and Power, Commercial Power","Coal",231056
"24178",2005,"AK","Combined Heat and Power, Commercial Power","Petroleum",13885
"24179",2005,"AK","Combined Heat and Power, Commercial Power","Wood",383
"25956",2006,"AK","Total Electric Power Industry","Coal",617419
"25957",2006,"AK","Total Electric Power Industry","Hydro",1223607
"25958",2006,"AK","Total Electric Power Industry","Natural Gas",4057730
"25960",2006,"AK","Total Electric Power Industry","Petroleum",767988
"25961",2006,"AK","Total Electric Power Industry","Wind",788
"25962",2006,"AK","Total Electric Power Industry","Wood",516
"25964",2006,"AK","Electric Generators, Electric Utilities","Coal",209952
